time,S,I,R,year
0.0,392.0,1589.0,0.0,1970.0
0.03003003003003003,394.67154373855954,1589.3323096130925,0.5415890533527159,1970.03003003003
0.06006006006006006,397.34083076959195,1589.6685772418298,1.0852743785347236,1970.06006006006
0.09009009009009009,400.0078628319983,1590.0088020833407,1.6310548457617136,1970.0900900900901
0.12012012012012012,402.67264166226295,1590.3529833598936,2.1789293265137326,1970.1201201201202
0.15015015015015015,405.33516899364923,1590.701120326453,2.728896693407962,1970.1501501501502
0.18018018018018017,407.99544655620406,1591.0532122704792,3.280955820234625,1970.1801801801803
0.21021021021021022,410.65347607717604,1591.4092585080016,3.8351055820230853,1970.21021021021
0.24024024024024024,413.3092592810157,1591.7692583836185,4.391344855041842,1970.2402402402402
0.2702702702702703,415.9627978893753,1592.1332112704972,4.949672516798543,1970.2702702702702
0.3003003003003003,418.6140936211088,1592.5011165703743,5.510087446039964,1970.3003003003003
0.3303303303303303,421.263148192272,1592.8729737135548,6.072588522752029,1970.3303303303303
0.36036036036036034,423.9099633161225,1593.248782158913,6.6371746281598,1970.3603603603603
0.39039039039039036,426.5545407031197,1593.6285413938915,7.203844644727478,1970.3903903903904
0.42042042042042044,429.19688206092474,1594.0122509345026,7.772597456158404,1970.4204204204204
0.45045045045045046,431.83698909440045,1594.3999103253273,8.343431947395057,1970.4504504504505
0.4804804804804805,434.47486350561155,1594.7915191395155,8.916347004619059,1970.4804804804805
0.5105105105105106,437.1105069938245,1595.1870769787856,9.491341515251168,1970.5105105105106
0.5405405405405406,439.7439212555077,1595.586583473426,10.068414367951284,1970.5405405405406
0.5705705705705706,442.37510798433095,1595.9900382822925,10.64756445261845,1970.5705705705707
0.6006006006006006,445.0040688711663,1596.3974410928115,11.228790660390843,1970.6006006006005
0.6306306306306306,447.6308056040871,1596.808791620977,11.812091883645778,1970.6306306306305
0.6606606606606606,450.2553198683689,1597.2240896113528,12.397467015999723,1970.6606606606606
0.6906906906906907,452.8776133464887,1597.643334837071,12.984914952308266,1970.6906906906906
0.7207207207207207,455.4976877181256,1598.0665270998331,13.574434588666154,1970.7207207207207
0.7507507507507507,458.1155446601602,1598.4936662299094,14.166024822407259,1970.7507507507507
0.7807807807807807,460.731185846675,1598.924752086139,14.759684552104606,1970.7807807807808
0.8108108108108109,463.34461294895425,1599.35978455593,15.355412677570342,1970.8108108108108
0.8408408408408409,465.95582763548396,1599.7987635552595,15.953208099855772,1970.8408408408409
0.8708708708708709,468.564831571952,1600.2416890286736,16.55306972125133,1970.870870870871
0.9009009009009009,471.17162668474515,1600.6885597506323,17.154996452624843,1970.900900900901
0.9309309309309309,473.77621496399973,1601.1393742273078,17.758987204024578,1970.930930930931
0.960960960960961,476.37859804663674,1601.594132590251,18.36504087476525,1970.960960960961
0.990990990990991,478.9787775657433,1602.052835003159,18.973156365601493,1970.990990990991
1.021021021021021,481.57675515206546,1602.515481655073,19.583332578774638,1971.021021021021
1.0510510510510511,484.17253243400813,1602.9820727603797,20.195568418012684,1971.051051051051
1.0810810810810811,486.76611103763537,1603.4526085588113,20.809862788530307,1971.081081081081
1.1111111111111112,489.35749258667005,1603.9270893154455,21.42621459702888,1971.111111111111
1.1411411411411412,491.9466787024942,1604.4055153207044,22.044622751696448,1971.1411411411411
1.1711711711711712,494.53367100414863,1604.8878868903557,22.66508616220773,1971.1711711711712
1.2012012012012012,497.1184711083333,1605.3742043655125,23.287603739724137,1971.2012012012012
1.2312312312312312,499.70108062940704,1605.8644681126332,23.912174396893754,1971.2312312312313
1.2612612612612613,502.28150117938776,1606.3586785235211,24.538797047851347,1971.2612612612613
1.2912912912912913,504.85973436795217,1606.856836015325,25.167470608218366,1971.2912912912914
1.3213213213213213,507.4357818024361,1607.3589410305383,25.79819399510294,1971.3213213213214
1.3513513513513513,510.0096450878344,1607.8649940370005,26.43096612709988,1971.3513513513512
1.3813813813813813,512.5813258268006,1608.3749955278959,27.065785924290676,1971.3813813813813
1.4114114114114114,515.1508256196478,1608.8889460217542,27.7026523082435,1971.4114114114113
1.4414414414414414,517.7181460643473,1609.4068460624499,28.341564202013203,1971.4414414414414
1.4714714714714714,520.28328875653,1609.9286962192032,28.98252053014132,1971.4714714714714
1.5015015015015014,522.8462552894856,1610.4544970865793,29.625520218656057,1971.5015015015015
1.5315315315315314,525.4070472541626,1610.9842492844887,30.270562195072316,1971.5315315315315
1.5615615615615615,527.9656662391686,1611.5179534581869,30.91764538839167,1971.5615615615616
1.5915915915915915,530.5221138307704,1612.055610278275,31.566768729102378,1971.5915915915916
1.6216216216216217,533.0763916128933,1612.5972204406994,32.21793114917937,1971.6216216216217
1.6516516516516517,535.6285011671221,1613.142784666751,32.87113158208427,1971.6516516516517
1.6816816816816818,538.1784440727,1613.6923037030665,33.52636896276537,1971.6816816816818
1.7117117117117118,540.7262219065299,1614.2457783216278,34.18364222765765,1971.7117117117118
1.7417417417417418,543.2718362431729,1614.8032093197621,34.842950314682774,1971.7417417417416
1.7717717717717718,545.8152886548496,1615.3645975201414,35.50429216324906,1971.7717717717717
1.8018018018018018,548.3565807114395,1615.9299437707834,36.16766671425157,1971.8018018018017
1.8318318318318318,550.8957139804809,1616.4992489450508,36.83307291007198,1971.8318318318318
1.8618618618618619,553.4326900271712,1617.0725139416516,37.50050969457867,1971.8618618618618
1.8918918918918919,555.9675104143669,1617.6497396846387,38.16997601312671,1971.8918918918919
1.921921921921922,558.5001767025831,1618.230927123411,38.84147081255784,1971.921921921922
1.951951951951952,561.0306904499943,1618.8160772327115,39.51499304120048,1971.951951951952
1.981981981981982,563.5590532124336,1619.4051910126295,40.190541648869754,1971.981981981982
2.012012012012012,566.0852665433936,1619.9982694885991,40.86811558686745,1972.012012012012
2.042042042042042,568.6093319940252,1620.5953137113993,41.54771380798201,1972.042042042042
2.0720720720720722,571.1312511131388,1621.1963247571548,42.229335266488576,1972.0720720720722
2.1021021021021022,573.6510254472034,1621.8013037273356,42.912978918149015,1972.1021021021022
2.1321321321321323,576.1686565403476,1622.4102517487563,43.5986437202118,1972.132132132132
2.1621621621621623,578.6841459343582,1623.0231699735773,44.28632863141215,1972.162162162162
2.1921921921921923,581.1974951686814,1623.640059579304,44.97603261197191,1972.1921921921921
2.2222222222222223,583.7087057804223,1624.260921768787,45.667754623599635,1972.2222222222222
2.2522522522522523,586.2177793043451,1624.8857577702224,46.36149362949058,1972.2522522522522
2.2822822822822824,588.7247172728726,1625.5145688371513,47.05724859432664,1972.2822822822823
2.3123123123123124,591.2295212160872,1626.1473562484596,47.75501848427639,1972.3123123123123
2.3423423423423424,593.7321926617296,1626.7841213083793,48.454802266995145,1972.3423423423424
2.3723723723723724,596.2327331352001,1627.4248653464872,49.15659891162483,1972.3723723723724
2.4024024024024024,598.7311441595573,1628.0695897177052,49.8604073887941,1972.4024024024025
2.4324324324324325,601.2274272555195,1628.7182958023004,50.56622667061824,1972.4324324324325
2.4624624624624625,603.7215839414633,1629.3709850058856,51.274055730699295,1972.4624624624626
